name,review
Pia Ries kleurrijke kalfsleren rugzak 6010,"Geschreven bij Pia Ries Rugtas Dames 6010-1 Leer - Zwart
Mooie kwaliteit soepel leer en zeer overzichtelijke indeling....een tas/ rugzak waar over nagedacht is."
Pia Ries kleurrijke kalfsleren rugzak 6010,"Ik vind het een geweldige rugzak, hij is mooi en praktisch; Groot genoeg om veel in mee te nemen, maar door de vormgeving blijft hij sierlijk. En hij is erg praktisch door de ritsvakjes en vakverdeling. Hij draagt heerlijk doordat de riempjes boven samen komen. Ik ben erg heel erg blij mee. Ik heb lang gezocht maar een goede rugzak en deze voldoet aan alle criteria!"
Pia Ries kleurrijke kalfsleren rugzak 6010,"Dat het mooi zacht materiaal is , dat het een mooi formaat is waar veel in kan , dat hij niet zwaar is .Er is alleen een minpunt en dat is dat de kleuren niet zo helder zijn als op de foto maar het zijn geen lelijke kleuren"
Pia Ries kleurrijke kalfsleren rugzak 6010,"Mooi , slank ontwerp. Licht in gewicht en de lichte binnenkant zorgt ervoor dat je veel beter je spullen in de tas kunt vinden."
Pia Ries kleurrijke kalfsleren rugzak 6010,Prachtige kleurrijke tas. De tas heeft een handige indeling en is mooi afgewerkt. De tas is eleganter en ruimer dan je op basis van de foto verwacht. Een aanrader!
Pia Ries kleurrijke kalfsleren rugzak 6010,"Positief aan deze tas vind ik: handig in gebruik, goede kwaliteitWat me tegenviel: kleur komt niet overeen met afbeelding"
Ticaba Taylor - Rugzak voor School/Werk/Reizen - Rugtas voor Dames/Heren en Jongens/Meisjes - Backpack – Zwart,Erg blij met de aankoop van deze rugzak. Schoolboeken passen er allemaal goed in. De tas is mooi compact en gelukkig niet al te groot. En het deed geen pijn aan me schouders tijdens het dragen.
Ticaba Taylor - Rugzak voor School/Werk/Reizen - Rugtas voor Dames/Heren en Jongens/Meisjes - Backpack – Zwart,Fijne rugzak. Groot voordeel is het vak op de rug voor waardevolle spullen (anti diefstal). Verder een gewoon prima rugzak  Niet te groot en niet te klein.
Ticaba Taylor - Rugzak voor School/Werk/Reizen - Rugtas voor Dames/Heren en Jongens/Meisjes - Backpack – Zwart,"Zeer ruim,goede kwaliteit,zeer tevreden"
Ticaba Taylor - Rugzak voor School/Werk/Reizen - Rugtas voor Dames/Heren en Jongens/Meisjes - Backpack – Zwart,Fijne en zeer ruime rugzak.
Ticaba Taylor - Rugzak voor School/Werk/Reizen - Rugtas voor Dames/Heren en Jongens/Meisjes - Backpack – Zwart,Snellen levering  mooie kwaliteit van de tas . Ik raad deze tas aan voor het werk enzovoort.
Ticaba Taylor - Rugzak voor School/Werk/Reizen - Rugtas voor Dames/Heren en Jongens/Meisjes - Backpack – Zwart,"compacte en toch ruime rugzak, goede afwerking"
Eastpak Out Of Office - Rugzak - 14 inch laptopvak - Zwart,"Hoi ik ben Rais.Toen ik dit product aankocht, dacht ik dat het gewoon een tas was met genoeg ruimte om me boeken te dragen. Maar toen het binnen kwam, kon ik zelfs meer spullen erin zetten en het deed geen pijn aan me schouders, dus als je een tas bestelt dan is dit de goeie."
Eastpak Out Of Office - Rugzak - 14 inch laptopvak - Zwart,Deze tas gekocht voor mijn volgende schooljaar. Hij is erg mooi en stevig. Het laptopvak is ook erg handig.
