sku,rating,good points,bad points
NAADE10014,"[9, 9, 9]","['De kleur is het allermooiste! De  grote vakken zijn ideaal. Veel in te stellen en vast te zetten waardoor ik deze functioneel ervaar!', '- draagcomfort\n- genoeg opbergruimte, vakjes\n- mooi design', 'Zit lekker op de rug, mooi tussenmaatje voor een paar dagen wandelen en gezellige originele kleur!']","['Ik vind de sluitingen iets te summier lijken. En jammer dat er in het grote vak geen scheiding gebruikt kan worden. Hierdoor is nadenken over inpakken van de tas meer noodzakelijk.', 'nog niet']"
B42A390522,"[8, 8, 8]","['Compact, degelijk, verstelbaar, handige indeling, comfortabel.', 'Mooie maat rugzak, draagt comfortabel', 'Nog geen oordeel ik heb hem pas.']","['Saai grijs, draag handvat is te dun.', 'Gespen heupriem zouden wat beter de riem vast moeten houden', 'Nog geen oordeel ,ik heb hem pas.']"
NAADE10014,"[8, 9, 9]","['Zit comfortabel op mijn rug. Groot genoeg voor een lang weekend/weekje weg en kan  als handbagage mee in het vliegtuig. Drinksysteem via achterkant waardoor deze niet in het hoofdvak hoeft.', 'Zacht op de heupen itt de 24l van een paar jaar geleden. Echt verbeterpunt. En grote zijvakken waar tel in kan.', 'Een fijne, kleinere backpack waar toch nog behoorlijk veel in past en waar je ook met elastieken aan de buitenkant dingen aan je backpack vast kunt maken.']","['Het hoofdvak is alleen via bovenkant te bereiken. Extra rits aan de onderkant was fijn geweest.', 'Regenhoes niet standaard', 'Het was mooi geweest als er een regenhoes bij had gezeten in plaats van dat je deze nog apart moet kopen.']"
B42A390522,"[8, 8, 4]","['Grote en kleine vakken, voldoende en praktisch.', 'zit goed op je rug. Is gemaakt van soepel materiaal.', 'Niet veel']","['De zijvakken voor drinken zijn te slap, ontbreekt iets om strakker te maken', 'De banden van boven tot onder breed houden en wat sterker materiaal (canvas) en sterkere ritsen inzetten. Dat maakt dan wel dat het product veel duurder wordt!', 'Betere heupband']"
NAADE10014,"[7, 8, 10]","['Goed verstelbaar, veel ruimte binnenin. Lichtgewicht rugzak', 'Draagt goed', 'Past stuk beter dan de mannen variant omdat voor vrouwen de schouders dichter bij elkaar zitten en daardoor een stuk comfortabeler is. Het feit dat hij naast de maatvoering ook nog op zoveel vlakken verstelbaar is maakt hem ideaal']","['Ik vind de zitzakken (kleine zakjes waar telefoon of geld in kunnen) te ver naar achter zitten en ik mis een achterzak in de rugzak zelf', 'Een 2 deling in het grote vak.', 'Geen regencover voor die prijs, terwijl andere tassen dat wel hebben is heel jammer']"
B42A390522,"[10, 10, 8]","['perfect draagcomfort', 'Mooi formaat en uiterlijk', 'Compact en sterk']","['geen', 'Weet ik niet', 'Compartimentering']"
NAACC70012,"[8, 9, 9]","['Licht, slanke vorm, kwa inhoud precies goed', 'Conpact', 'Zit comfortabel en is erg licht']","['Wat zakjes aan de binnenkant zodat je kleinere spulletjes terug kunt vinden', 'Geen']"
NAACC70012,"[9, 8, 10]","['Draagcomfort', 'Gewicht zit goed op de heupen, fijn draagcomfort', 'Praktisch, ziet er leuk uit. Draagt goed']","['Extra vakje voor papieren, a4 prints, was handig geweest\nVoor route, reispapapieren', 'Zou graag een voorvak met rits gehad hebben']"
NAACE00047,"[8, 9, 9]","['Zeer mooie lichtgewicht rugzak voor (kleine) dames!', 'Veel verschillende vakjes en goed draagcomfort', 'Past goed is ligt van gewicht']","['Geen regenhoes bij', 'De plek.voor de bidon  is net iets te ver om.gemakkelijk te pakken en terug te doen.']"
NAACE00047,"[10, 8, 9]","['Zit goed, geen pijn aan schouders, voldoende inhoud', 'Genoeg ruimte, draagt fijn', 'Fijne tas veel opberg vakken']","['Nog niet ontdekt', 'Zou fijn zijn als er ene regenhoes bij geleverd wordt', 'geen']"
NAACC70012,"[9, 9, 7]",['Het ingebouwde frame met afstand tot de rug. De wind gaat lekker langs je rug'],['Er zit een ritsje dat niet dicht kan. Waar de waterzak in kan bovenin.']
NAACE00047,"[10, 8, 9]","['Goede pasvorm, veel opbergmogelijkheden.', 'Draagt heerlijk, en er kan veel in. Je merkt haast niet dat je hem om hebt.', 'Zeer goed draagcomfort. Goed verstelbaar.']","['Een ingebouwde regenhoes zou handig zijn. Nu er een losse bij gekocht.', 'Ik mis een regenhoes en bijvoorbeeld nog plek aan de buitenkant om mijn wandelstokken goed op te hangen', 'Had graag een geïntegreerde regenhoes gehad ( losse waren uitverkocht \uf622).\nWel een bui op de kop ( bijna niet te geloven maar in die ene bui liepen wij) dus tas nat.']"
NAACE00047,"[8, 8, 8]",['Goede maat'],[]
B42B3A0082,"[9, 8]",['Verstelbare schouderpand waardoor m’n langere partner m ook goed kan dragen.'],"['Hij kan niet rechtop blijven staan. Duikelt steeds naar voren als je m neerzet , door harde uitstekende ‘rugpand’']"
B42A390322,"[9, 8, 8]","['Draagcomfort, staat van de rug af zodat je minder last van transpiratie hebt.', 'Compleet', 'Zit (tot nu toe) goed!']","['Nog niet gevonden', '-']"
B42A390322,"[10, 5, 8]","['Heeft alles wat ik zocht, denk aan goede ondersteuning, uitgebreide verstelbaarheid, ventilatie op de rug. Echt een serieuze rugzak. Prima geschikt voor een weekendje op stap.', 'Lekker veel vakken']","['Ik kan er op dit moment geen bedenken.', 'Ik heb de rugzak geruild\nDe zakjes in de heupband irriteerde met wandelen \nJe armen kwamen er tegenaan']"
B42A390322,"[6, 8, 10]","['Licht en comfort (hoe hij zit)', 'Praktische indeling. Goed instelbare heup en schouderbanden. Hoogte-instelling is super eenvoudig.', 'In hoogte verstelbare schouderbanden']","['Een vak(je) voor portemonnee etc. dat niet in het grote vak wegvalt. Zit steeds in de weg in het grote vak.', 'De ritsen lopen wat zwaar. Ik heb ze licht in de vaseline gezet. De schouderbanden zijn erg luidruchtig. Daar moet ik een zachte stof op zetten, want anders hoor je steeds dat geschuur op je schouders.', 'De prijs']"
