productcode,review_id,review
8529358,23493369,"I've found all the top sizes 2 sizes too small for me, even though I measured myself and looked at their size chart. Tops come down to my belly button, wrists are too tight to get over watches, and zips don't do up as they don't reach across my chest.    I'm 6ft1 slim 75kg and ordered the M-L"
8529358,23211290,I can’t get enough of Van Rysel product amazing quality and comfort thank you Van Rysel
8529358,23067208,"Loved the jacket, light weight and can easy to store. Used it for both wet weather cycling and running."
8529358,22780033,A great lightweight rain jacket which folds up small. Wind proof and breathable.
8529358,22547032,Need to get 2 bigger sizes up
8529358,21765116,Love this jacket. Fragile though...mind you I did come off at 30kph and it ripped...but bought a new one...nuff said. Mind you packing in pocket is tight...my wife has the knack.
8529358,21443079,good garment. Note this is a race cut so check sizes and don't assume they are the same as earlier purchases. They are not.  Purchased to replace an older version. identical design bar the Van Rysel rather than Btwin logo. But sizing totally different. Large fit now far too snug and compared to the Btwin is a thinner cut on arms and torso yet length identical. Bad idea to change size spec. will be returning the item.
8529358,21339999,Body fits perfectly.   Area around the elbow area is tight
8529358,21311528,เสื้อตัวนี้รีวิวจาก ตปท. ได้คะแนนดีมาก เกินราคา ผมซื้มาไว้สำหรับใส่ตอนหน้าหนาว ละแวกบ้านที่เชียงรายนี่อากาศเย็นและชื้น ใส่ตัวนี้ขี่กลางคืน กันลม กันละอองความชื้นได้ดี ทั้งในและนอกเลย
8529358,21300780,"Despite having a function that allows it to be tucked into its pocket, there is no instructions on how to, and does not feel like it can fit into that pocket."
8529358,20316318,"Lovely, lightweight jacket which is both water and windproof. Great fit and looks the part too"
8529358,20230475,"Very disappointing experience with this product. I brought it along with me while I commute to work today and it happened to rain before I alighted the bus. I wore it and even had an umbrella with me, yet I was wet because the wind was blowing the rain onto my body.     I would return the product for a refund if it's allowed."
8529358,20140841,"Lightweight, packs away nicely and does what it says. Brilliant."
8529358,19898911,Happy 😃
8529358,19856533,10/10
8529358,19788744,"Great occasionally use showerproof jacket, very packable"
8529358,19139988,"Haven't tried it in the rain yet but so far so good. Very thin, nice colour, good arm lengths, nice little pocket in the back to pack it, contrary to what others are saying, it does pack into the little pocket but you would have to stop riding your bike for 2 minutes to put it in. I bought a L and I am 5'10, 78kg fits me perfectly. I am usually a medium but with all cycling gear I go a size up. So I recommend going a size up at least for this."
8529358,18102594,"A nice fitting smart jacket for light showers. On a recent ride I encountered a shower and am pleased to say the jacket kept me dry. Folds down to the size of a fist so easy to carry, looks smart too."
8529358,17833477,"I really like this jacket. It does keep the worst of a downpour off you, and has great ventilation, and it’s very light. Best used as an extra layer when it’s warm and wet out. It is also fairly windproof. My only criticism is the xx size doesn’t fit easily into its pocket. Maybe if I were an s it would be fine, but it’s only just too big. Price is fair, and it looks fairly pro."
8529358,17778910,"Used during medium rain for 5 hours, no leaks. Back ventilation allows for good airflow avoiding ""sauna effect"". Packs light and small fits in a jersey pocket and doesn't take much space in my framebag."
8529358,17312786,Comfortable to wear and works as intended. :)
8529358,17195296,Amazing coat and amazing performance.
8529358,16975527,"Nice and compact, but as a slim guy I still needed to go for the next size up when compared to the size guide. The pocket/pouch is way too small to fold the jacket into, so will need to find a separate pouch."
8529358,16670255,light and compact. A product that did the job with affordable price
8529358,16342010,Amazing product and quality
8529358,15832726,Ultra light wind and rain jacket that is durable and easily packs away in your jersey pocket. Great for cool early morning starts or unstable weather days. Great for long treks into the mountains and changing climates.
8529358,15765628,"I would suggest you go a size up when purchasing this item. The pocket is far to SMALL to roll the jacket into. In regards to its actual use, have had it on once when the rain started, but couldn't test it as the rain stopped, kept it on as the weather in Scotland is unpredictable and it kept the wind out."
8529358,15561450,"Great jacket for light drizzle/shower or setting out early morning as an additional layer, easily foldable. It will not protect you against heavy sustained showers though."
8529358,15107608,Good fit but a bit expensive
8529358,14882193,"Fantastic rain jacket that packs down into a cycling jersey back pocket. Excellent quality, breathes and better looking than some of the expensive brands."
8529358,14747940,"bought for summer,good tight fit,lightweight,"
8529358,14446271,Good
8529358,13570132,"Good well made jacket. Go for a size up from what you would normally buy.Ideal for those long rides. Easily fits into your back pocket, keeps the wind out without overheating, fine in a light drizzle but anything heavier than that it does start to seep through, so not quite as waterproof as claimed but overall still a good buy."
8529358,13105294,"this jacket is not even shower proof, even the slightest bit of rain goes through it, my windproof jacket is more waterproof than this.."
8529358,12915046,"It's small and will protect you from the wind, mostly. It is not really waterproof. Not more than any other non-waterproof material really. It does pack very small though, which is nice."
8529358,12300627,"I’ve not tested it in the rain yet, but the jacket fits well and feels really good. But as others have mentioned the stuff sack is pointless - nowhere near big enough, so now I’ll have to get a separate stuff sack. It’s a shame as it would be perfect otherwise."
